channelSeq | channelCode | Binary Representation         | Decimal  | Difference
-----------+-------------+-------------------------------+----------+------------
01         |  F21F       | 1111 0010 0001 1111           |   61983  | 
02         |  F13F       | 1111 0001 0011 1111           |   61759  | 224
03         |  F05F       | 1111 0000 0101 1111           |   61535  | 224
04         |  EF7F       | 1110 1111 0111 1111           |   61311  | 224
05         |  EE9F       | 1110 1110 1001 1111           |   61087  | 224
06         |  EDBF       | 1110 1101 1011 1111           |   60863  | 224
07         |  ECDF       | 1110 1100 1101 1111           |   60639  | 224
08         |  EBFF       | 1110 1011 1111 1111           |   60415  | 224
09         |  FEA11      | 1111 1110 1010 0001 0001      | 1042961  | 982546
10         |  FE913      | 1111 1110 1001 0001 0011      | 1042707  | 254
11         |  FE815      | 1111 1110 1000 0001 0101      | 1042453  | 254
12         |  FE717      | 1111 1110 0111 0001 0111      | 1042199  | 254
13         |  FE619      | 1111 1110 0110 0001 1001      | 1041945  | 254

672        |  D5353F     | 1101 0101 0011 0101 0011 1111 | 13972799 |
673        |  D52541     | 1101 0101 0010 0101 0100 0001 | 13968705 | 4094
